gameID,time,team1,team2,scores,place
G1,2022/9/24,地空,合肥研究院,3:6,西区
G2,2022/9/24,火速,化院,0:8,东区
G3,2022/9/24,工院,生院,6:0,西区
G4,2022/9/25,附医,少院,4:1,东区
G5,2022/9/25,管数,信院,0:1,西区
G6,2022/10/5,管数,少院,4:0,东区
G7,2022/10/5,物院,化院,0:5,东区
G8,2022/10/7,地空,信院,2:2,西区
G9,2023/4/22,火速,合肥研究院,1:1,西区
G10,2022/10/7,工院,附医,0:0,东区
G11,2023/3/11,工院,管数,4:2,西区
G12,2023/3/11,生院,附医,0:3,N/A
G13,2022/11/26,地空,少院,4:1,东区
G14,2023/3/12,火速,信院,0:5,西区
G15,2023/3/11,物院,合肥研究院,0:0,西区
G16,2022/11/20,工院,地空,5:1,西区
G17,2022/11/20,生院,管数,2:3,东区
G18,2022/11/19,火速,少院,3:1,东区
G19,2022/11/20,物院,信院,1:1,西区
G20,2023/5/20,化院,合肥研究院,2:0,东区
G21,2023/3/18,工院,火速,5:0,西区
G22,2023/3/19,生院,地空,1:13,西区
G23,2023/3/18,附医,管数,1:0,东区
G24,2023/3/19,物院,少院,0:0,东区
G25,2023/3/19,化院,信院,5:1,东区
G26,2023/3/25,工院,物院,1:0,西区
G27,2023/3/26,生院,火速,3:0,西区
G28,2023/3/25,附医,地空,4:1,东区
G29,2023/3/26,化院,少院,7:0,东区
G30,2023/3/26,合肥研究院,信院,3:1,西区
G31,2023/4/1,工院,化院,1:3(*判3:0),西区
G32,2023/4/2,生院,物院,1:4,东区
G33,2023/4/2,附医,火速,4:0,东区
G34,2023/4/1,管数,地空,0:4,东区
G35,2023/4/2,合肥研究院,少院,3:1,西区
G36,2023/4/9,工院,合肥研究院,1:3,西区
G37,2023/4/9,生院,化院,0:3,N/A
G38,2023/4/9,附医,物院,2:2,东区
G39,2023/4/8,管数,火速,4:0,西区
G40,2023/4/8,信院,少院,3:0,西区
G41,2023/4/16,工院,信院,1:0,西区
G42,2023/4/16,生院,合肥研究院,1:4,东区
G43,2023/4/15,附医,化院,1:0,东区
G44,2023/4/15,管数,物院,2:2,东区
G45,2023/4/15,地空,火速,3:0,N/A
G46,2023/5/7,工院,少院,5:1,东区
G47,2023/4/22,生院,信院,1:4,西区
G48,2023/3/4,附医,合肥研究院,1:1,西区
G49,2023/4/22,管数,化院,0:4,东区
G50,2023/4/22,地空,物院,10:2,东区
G51,2023/5/14,生院,少院,0:3,西区
G52,2023/5/14,附医,信院,5:1,西区
G53,2023/5/13,管数,合肥研究院,2:2,西区
G54,2023/5/14,地空,化院,2:4,东区
G55,2023/5/7,火速,物院,0:1,东区
G56,2023/5/21,信院,生院,7:0,西区
G57,2023/5/21,管数,少院,0:1,西区
G58,2023/5/21,物院,火速,3:1,东区
G59,2023/5/28,物院,工院,1:2,西区
G60,2023/5/27,合肥研究院,地空,4:4(PK3:4),西区
G61,2023/5/27,少院,附医,1:2,东区
G62,2023/5/28,信院,化院,0:2,西区
G63,2023/6/3,工院,地空,10:0,西区
G64,2023/6/3,附医,化院,1:1(PK1:3),东区
G65,2023/6/10,工院,化院,1:0,东区
