排名,球队,胜,平,负,进球,失球,净胜球,积分
1,工院,8,1,1,31,7,24,25
2,附医,7,3,0,25,6,19,24
3,化院,8,0,2,38,7,31,24
4,合肥研究院,5,4,1,23,13,10,19
5,地空,5,1,4,43,25,18,16
6,信院,4,2,4,18,17,1,14
7,管数,3,2,5,17,21,-4,11
8,物院,2,5,3,12,22,-10,11
9,火速,1,1,8,4,32,-28,4
10,少院,1,1,8,8,36,-28,4
11,生院,1,0,9,10,43,-33,3
