排名,球员,球队,进球数
1,赵梓含,物院,9
2,王小丽,地空,9
3,梅聪聪,信计,8
4,骆小鸥,物院,8
5,张伶燕,地空,5
6,蔡其妙,信计,4
7,周奕芃,物院,3
8,陈婷,化院,3
9,丁宁,地空,3
10,袁雪,化院,2
11,李易,生少,2
12,周慧,地空,2
13,杨铭,地空,2
14,詹慧悠,化院,2
15,曾婉倩,物院,1
16,冉思颖,化院,1
17,陈婧,化院,1
18,姚沁仪,信计,1
19,宋慧子,信计,1
20,方明月,物院,1
21,王咪,物院,1
22,颜晗,地空,1
23,麦李婷,地空,1
